id;municipio;poblacion_total;poblacion_mayores;proporcion_mayores
41019;Burguillos;6971;843;12.09
45119;Numancia de la Sagra;5423;656;12.1
45203;Yuncler;4788;580;12.11
18057;Cúllar Vega;7708;934;12.12
19171;Marchamalo;8167;990;12.12
43100;Pallaresos, Els;4921;597;12.13
8167;Polinyà;8432;1024;12.14
31083;Echarri/Etxarri;74;9;12.16
21059;Puerto Moral;279;34;12.19
21002;Aljaraque;22092;2694;12.19
40033;Brieva;90;11;12.22
41010;Almensilla;6485;793;12.23
30018;Ceutí;12589;1541;12.24
8294;Vallgorguina;3192;391;12.25
29038;Cártama;27665;3391;12.26
30037;Torre-Pacheco;38662;4743;12.27
41070;Palomares del Río;9025;1113;12.33
19046;Azuqueca de Henares;34834;4324;12.41
43119;Puigpelat;1214;151;12.44
4904;Balanegra;2986;372;12.46
40112;Lastrilla, La;4509;562;12.46
46903;San Antonio de Benagéber;10079;1257;12.47
21050;Moguer;22642;2823;12.47
19079;Castilnuevo;8;1;12.5
5018;Avellaneda;24;3;12.5
12063;Fuente la Reina;56;7;12.5
21044;Lepe;28617;3577;12.5
22054;Benasque;2287;286;12.51
28140;Serranillos del Valle;4555;570;12.51
46178;Nàquera/Náquera;8084;1013;12.53
40094;Garcillán;518;65;12.55
28086;Molar, El;9661;1212;12.55
31018;Añorbe;629;79;12.56
19300;Valdeaveruelo;1199;151;12.59
43103;Perafort;1287;162;12.59
28176;Villanueva de la Cañada;22949;2891;12.6
35014;Oliva, La;28679;3613;12.6
26143;Sojuela;602;76;12.62
8291;Vacarisses;7362;929;12.62
35004;Arrecife;63750;8043;12.62
47027;Cabezón de Pisuerga;3791;479;12.64
19160;Loranca de Tajuña;1495;190;12.71
4075;Pulpí;11480;1459;12.71
41044;Gelves;10348;1316;12.72
18022;Atarfe;19907;2535;12.73
20903;Astigarraga;7580;966;12.74
38001;Adeje;49270;6276;12.74
8290;Ullastrell;2154;276;12.81
11029;Puerto Serrano;6846;877;12.81
51001;Ceuta;82982;10637;12.82
45145;Recas;4972;638;12.83
31041;Ayegui/Aiegi;2499;321;12.85
13056;Miguelturra;15589;2003;12.85
43081;Maspujols;855;110;12.87
25011;Alcarràs;9927;1278;12.87
28096;Navalcarnero;31432;4047;12.88
37354;Villamayor;7453;961;12.89
28141;Sevilla la Nueva;9437;1216;12.89
41016;Bollullos de la Mitación;11061;1427;12.9
45107;Nambroca;5188;670;12.91
7048;Sant Josep de sa Talaia;29888;3862;12.92
25007;Albatàrrec;2212;287;12.97
31122;Huarte/Uharte;7480;970;12.97
3904;San Isidro;2218;288;12.98
20048;Larraul;254;33;12.99
28023;Boalo, El;8337;1083;12.99
21021;Cartaya;20883;2714;13
47023;Boecillo;4276;559;13.07
47050;Cigales;5296;692;13.07
17012;Avinyonet de Puigventós;1674;219;13.08
50209;Pinseque;4293;562;13.09
17155;Salt;32517;4261;13.1
19331;Yunquera de Henares;4363;572;13.11
1001;Alegría-Dulantzi;2931;385;13.14
28095;Navalagamella;2983;392;13.14
46172;Montserrat;9167;1205;13.14
35030;Tuineje;15744;2071;13.15
1901;Iruña Oka/Iruña de Oca;3560;469;13.17
45041;Casarrubios del Monte;6750;889;13.17
9074;Cardeñajimeno;1191;157;13.18
21064;San Juan del Puerto;9612;1267;13.18
31088;Noáin (Valle de Elorz)/Noain (Elortzibar);8309;1098;13.21
8148;Olivella;4342;574;13.22
28094;Navalafuente;1663;220;13.23
19117;Fontanar;2598;344;13.24
4024;Benahadux;4605;610;13.25
41094;Umbrete;9192;1218;13.25
30042;Villanueva del Río Segura;3757;499;13.28
31905;Beriáin;4081;543;13.31
9109;Condado de Treviño;1466;196;13.37
18095;Güevéjar;2648;354;13.37
25228;Torrefarrera;4828;647;13.4
46202;Pobla de Vallbona, la;26242;3517;13.4
35002;Agüimes;32095;4300;13.4
40026;Basardilla;149;20;13.42
31109;Galar;2318;311;13.42
50132;Joyosa, La;1132;152;13.43
28119;Quijorna;3842;516;13.43
40097;Grajera;253;34;13.44
28044;Colmenarejo;9532;1281;13.44
35018;San Bartolomé;19298;2594;13.44
7003;Alcúdia;21401;2876;13.44
41049;Guillena;13507;1817;13.45
45122;Olías del Rey;8623;1161;13.46
20905;Orendain;237;32;13.5
7026;Eivissa;51402;6947;13.52
8902;Vilanova del Vallès;5581;755;13.53
28106;Parla;130577;17712;13.56
25012;Alcoletge;3520;478;13.58
28033;Campo Real;6651;904;13.59
21005;Almonte;25341;3445;13.59
28150;Torrejón de Velasco;4699;640;13.62
28169;Venturada;2524;344;13.63
28178;Villanueva de Perales;1701;232;13.64
4074;Pechina;4366;596;13.65
7046;Sant Antoni de Portmany;27780;3793;13.65
7024;Formentera;11298;1545;13.67
8162;Hostalets de Pierola, Els;3144;430;13.68
28026;Brunete;10881;1489;13.68
30010;Beniel;11359;1554;13.68
28014;Arganda del Rey;57730;7901;13.69
35029;Tinajo;6659;913;13.71
43095;Morell, El;3851;529;13.74
31903;Berriozar;10809;1485;13.74
18006;Albuñol;7338;1009;13.75
28113;Pinto;54088;7443;13.76
18165;Pulianas;5534;762;13.77
22127;Igriés;710;98;13.8
38035;San Miguel de Abona;22643;3125;13.8
9406;Valdorros;340;47;13.82
9221;Modúbar de la Emparedada;767;106;13.82
39019;Castañeda;3117;431;13.83
28012;Anchuelo;1366;189;13.84
12123;Vallat;65;9;13.85
3088;Monforte del Cid;8745;1211;13.85
28056;Fresnedillas de la Oliva;1789;248;13.86
3109;Rafal;4726;655;13.86
30901;Santomera;16026;2222;13.86
31172;Monreal/Elo;504;70;13.89
7054;Santa Eulària des Riu;41184;5721;13.89
40203;Torrecaballeros;1446;201;13.9
17038;Campllong;532;74;13.91
28145;Talamanca de Jarama;4317;601;13.92
41015;Benacazón;7309;1018;13.93
28082;Manzanares el Real;9278;1292;13.93
30021;Fuente Álamo de Murcia;17810;2482;13.94
30027;Molina de Segura;74560;10401;13.95
26084;Lardero;11136;1555;13.96
39028;Entrambasaguas;5504;769;13.97
30007;Alguazas;10153;1420;13.99
10182;Toril;164;23;14.02
41081;Rinconada, La;39509;5545;14.03
19293;Uceda;3112;437;14.04
46007;Albal;16845;2365;14.04
15002;Ames;32067;4507;14.05
8027;Cabanyes, Les;987;139;14.08
18115;Láchar;3721;524;14.08
28179;Villar del Olmo;2236;315;14.09
4049;Garrucha;10294;1454;14.12
19041;Armuña de Tajuña;269;38;14.13
9009;Albillos;219;31;14.16
18021;Armilla;24567;3479;14.16
3017;Alqueria d'Asnar, l';508;72;14.17
8062;Castellnou de Bages;1408;200;14.2
30039;Totana;33669;4781;14.2
17021;Beuda;211;30;14.22
22156;Monflorite-Lascasas;464;66;14.22
50272;Utebo;18764;2671;14.23
29007;Alhaurín de la Torre;42645;6067;14.23
12902;Sant Joan de Moró;3505;501;14.29
8289;Torrelles de Llobregat;6146;878;14.29
45085;Lominchar;2595;371;14.3
25208;Soriguera;440;63;14.32
30041;Unión, La;20668;2960;14.32
28089;Moraleja de Enmedio;5456;782;14.33
46148;Loriguilla;2155;309;14.34
8296;Vallromanes;2664;382;14.34
43905;Salou;29537;4240;14.35
40032;Boceguillas;694;100;14.41
28010;Alpedrete;15361;2213;14.41
41058;Mairena del Alcor;23897;3444;14.41
46140;Guardamar de la Safor;603;87;14.43
4078;Rioja;1606;232;14.45
18003;Albolote;19315;2791;14.45
28045;Colmenar Viejo;53389;7717;14.45
30025;Lorquí;7629;1103;14.46
10180;Talayuela;7130;1032;14.47
46188;Palmera;1036;150;14.48
12094;Pobla Tornesa, la;1312;190;14.48
50229;Ruesca;69;10;14.49
4100;Vera;18589;2693;14.49
28057;Fresno de Torote;2482;360;14.5
46214;Riba-roja de Túria;23050;3344;14.51
28090;Moralzarzal;13922;2021;14.52
28009;Algete;20717;3012;14.54
46163;Massalfassar;2582;376;14.56
41085;Salteras;5604;816;14.56
8025;Bruc, El;2250;328;14.58
8204;Sant Climent de Llobregat;4170;608;14.58
45021;Borox;4160;607;14.59
18144;Nívar;1096;160;14.6
11008;Barrios, Los;24096;3520;14.61
29023;Benahavís;9158;1339;14.62
35024;Teguise;23396;3420;14.62
35011;Ingenio;31816;4651;14.62
22221;Sesué;123;18;14.63
8054;Castellbisbal;12697;1858;14.63
31907;Zizur Mayor/Zizur Nagusia;15563;2278;14.64
28059;Fuente el Saz de Jarama;7201;1056;14.66
39052;Piélagos;26192;3841;14.66
29082;Rincón de la Victoria;50715;7435;14.66
46134;Gilet;3803;558;14.67
45051;Cobeja;2513;369;14.68
8193;Sant Iscle de Vallalta;1436;211;14.69
1006;Armiñón;231;34;14.72
19143;Horche;2756;406;14.73
31098;Esteribar;2818;415;14.73
18084;Gójar;6108;900;14.73
28165;Valdilecha;3160;466;14.75
28084;Mejorada del Campo;23829;3515;14.75
28152;Torrelodones;24727;3651;14.77
38006;Arona;85085;12576;14.78
40120;Martín Muñoz de la Dehesa;311;46;14.79
8055;Castellcir;764;113;14.79
19290;Trijueque;1555;230;14.79
28061;Galapagar;34833;5155;14.8
42097;Gormaz;27;4;14.81
8119;Masquefa;9667;1432;14.81
28160;Valdemorillo;13453;1992;14.81
25137;Mollerussa;15199;2252;14.82
28156;Valdeavero;1758;261;14.85
46222;Sant Joanet;538;80;14.87
9301;Quintanilla Vivar;901;134;14.87
45189;Villamiel de Toledo;1069;159;14.87
28085;Miraflores de la Sierra;6907;1027;14.87
35031;Valsequillo de Gran Canaria;9606;1428;14.87
20002;Aduna;504;75;14.88
23061;Mengíbar;9965;1483;14.88
30038;Torres de Cotillas, Las;22078;3286;14.88
28100;Nuevo Baztán;6993;1042;14.9
12009;Almassora;27443;4091;14.91
11013;Castellar de la Frontera;3016;450;14.92
41038;Dos Hermanas;137561;20553;14.94
48047;Gizaburuaga;194;29;14.95
30022;Jumilla;26279;3930;14.95
29070;Mijas;89502;13380;14.95
43166;Vilallonga del Camp;2433;364;14.96
18153;Peligros;11593;1735;14.97
43033;Botarell;1148;172;14.98
8069;Collbató;4753;712;14.98
8179;Rellinars;920;138;15
43047;Constantí;6811;1022;15.01
45050;Ciruelos;659;99;15.02
8276;Tagamanent;339;51;15.04
13066;Pozuelo de Calatrava;3695;557;15.07
48088;Ubide;179;27;15.08
17169;Sant Julià de Ramis;3654;551;15.08
8244;Santa Coloma de Cervelló;8280;1249;15.08
8155;Palafolls;9727;1467;15.08
47066;Fuensaldaña;2054;310;15.09
41051;Huévar del Aljarafe;3260;492;15.09
41063;Molares, Los;3553;536;15.09
41075;Pilas;13964;2107;15.09
8020;Begues;7347;1110;15.11
8255;Santa Maria de Merlès;172;26;15.12
8247;Santa Eulàlia de Riuprimer;1442;218;15.12
18093;Gualchos;5290;800;15.12
18134;Monachil;8246;1247;15.12
7008;Binissalem;9128;1380;15.12
30009;Archena;19997;3024;15.12
46074;Bonrepòs i Mirambell;3870;586;15.14
1054;Urkabustaiz;1425;216;15.16
18127;Maracena;22138;3356;15.16
25189;Rosselló;3295;500;15.17
17142;Quart;3961;601;15.17
45025;Cabañas de la Sagra;2095;318;15.18
8086;Franqueses del Vallès, Les;20201;3067;15.18
46216;Rocafort;7510;1141;15.19
11015;Chiclana de la Frontera;87452;13294;15.2
28101;Olmeda de las Fuentes;401;61;15.21
17073;Fornells de la Selva;2712;413;15.23
8075;Dosrius;5849;891;15.23
2029;Chinchilla de Monte-Aragón;4547;693;15.24
19082;Centenera;144;22;15.28
4029;Berja;12745;1948;15.28
3044;Bigastro;7325;1120;15.29
30005;Alcantarilla;42531;6504;15.29
46190;Paterna;72179;11033;15.29
31908;Lekunberri;1686;258;15.3
18145;Ogíjares;14635;2239;15.3
20031;Elduain;235;36;15.32
45118;Novés;3387;519;15.32
18059;Chauchina;5647;865;15.32
3111;Redován;8072;1237;15.32
8205;Sant Cugat del Vallès;95725;14674;15.33
28067;Guadalix de la Sierra;6715;1030;15.34
46186;Paiporta;26965;4136;15.34
8103;Jorba;821;126;15.35
41069;Palacios y Villafranca, Los;38369;5888;15.35
37182;Martinamor;78;12;15.38
24222;Villaquilambre;18564;2855;15.38
17209;Vall-llobrega;922;142;15.4
17204;Ullà;1195;184;15.4
25025;Naut Aran;1916;295;15.4
8249;Santa Fe del Penedès;357;55;15.41
17172;Sant Martí de Llémena;701;108;15.41
46055;Beniarjó;1875;289;15.41
30033;Puerto Lumbreras;17376;2677;15.41
41059;Mairena del Aljarafe;47088;7257;15.41
28903;Tres Cantos;50802;7835;15.42
18193;Zubia, La;19593;3023;15.43
7027;Inca;33978;5245;15.44
25086;Esterri d'Àneu;874;135;15.45
28127;Rozas de Madrid, Las;97151;15009;15.45
43127;Riudecanyes;1339;207;15.46
8234;Sant Pere de Vilamajor;4773;738;15.46
48029;Etxebarri;11817;1830;15.49
43007;Aleixar, L';942;146;15.5
7034;Mancor de la Vall;1632;253;15.5
37067;Cabrerizos;4188;649;15.5
25121;Les;1006;156;15.51
7016;Consell;4243;658;15.51
46070;Bétera;26289;4077;15.51
16023;Chillarón de Cuenca;799;124;15.52
3058;Cox;7417;1151;15.52
45066;Fuensalida;12095;1877;15.52
18063;Darro;1642;255;15.53
3069;Finestrat;8763;1361;15.53
3005;Albatera;12930;2008;15.53
41093;Tomares;25099;3899;15.53
19167;Malaguilla;193;30;15.54
28154;Torres de la Alameda;7632;1186;15.54
7014;Capdepera;12477;1939;15.54
8129;Muntanyola;714;111;15.55
21061;Rociana del Condado;8083;1257;15.55
8072;Corbera de Llobregat;15493;2409;15.55
9108;Cogollos;610;95;15.57
14033;Guadalcázar;1522;237;15.57
28046;Collado Mediano;7367;1147;15.57
43126;Riera de Gaià, La;1765;275;15.58
47161;Simancas;5438;847;15.58
41007;Algaba, La;16383;2552;15.58
4003;Adra;24886;3876;15.58
45180;Valmojado;4644;724;15.59
43171;Vila-seca;22937;3575;15.59
30024;Lorca;95725;14924;15.59
4044;Fines;2212;345;15.6
8097;Gualba;1644;257;15.63
29076;Ojén;4485;701;15.63
7033;Manacor;45749;7155;15.64
8146;Olesa de Bonesvalls;2090;327;15.65
41005;Alcalá del Río;12089;1892;15.65
11033;San Roque;33890;5320;15.7
45127;Palomeque;1146;180;15.71
8267;Sentmenat;9381;1474;15.71
46207;Rafelbunyol;9393;1476;15.71
28047;Collado Villalba;65030;10218;15.71
17086;Jonquera, La;3315;521;15.72
43043;Catllar, El;5069;797;15.72
46111;Chiva;16491;2593;15.72
16203;Tarancón;16125;2537;15.73
3015;Almoradí;21450;3374;15.73
28040;Ciempozuelos;25179;3960;15.73
22078;Canfranc;591;93;15.74
36049;Salceda de Caselas;9307;1465;15.74
25243;Vielha e Mijaran;5680;895;15.76
12031;Borriol;5819;917;15.76
8207;Sant Esteve de Palautordera;3024;477;15.77
3090;Mutxamel;26827;4231;15.77
30036;San Pedro del Pinatar;27431;4325;15.77
28134;San Sebastián de los Reyes;91083;14364;15.77
19073;Casas de San Galindo;19;3;15.79
19202;Olmeda de Jadraque, La;19;3;15.79
28017;Batres;1866;295;15.81
41067;Olivares;9371;1482;15.81
30035;San Javier;34468;5450;15.81
41004;Alcalá de Guadaíra;75917;12004;15.81
30008;Alhama de Murcia;22872;3620;15.83
41903;Cuervo de Sevilla, El;8512;1348;15.84
41034;Coria del Río;30516;4833;15.84
17146;Riells i Viabrea;4365;692;15.85
30020;Fortuna;11084;1757;15.85
18101;Huétor Vega;11954;1895;15.85
25053;Benavent de Segrià;1564;248;15.86
8005;Ametlla del Vallès, L';9146;1451;15.86
49178;Roales;1008;160;15.87
41018;Brenes;12699;2015;15.87
43003;Albiol, L';535;85;15.89
8026;Brull, El;283;45;15.9
17215;Vilablareix;3469;552;15.91
21042;Isla Cristina;21369;3399;15.91
9326;Rubena;201;32;15.92
43097;Nou de Gaià, La;628;100;15.92
29080;Pizarra;9811;1562;15.92
41053;Lebrija;27305;4348;15.92
46021;Aldaia;32656;5198;15.92
12118;Torrechiva;113;18;15.93
41102;Viso del Alcor, El;19093;3042;15.93
25031;Arres;69;11;15.94
41047;Gines;13350;2128;15.94
43088;Montbrió del Camp;3079;491;15.95
8043;Canyelles;5177;826;15.96
25023;Alpicat;6333;1011;15.96
7045;Puigpunyent;2079;332;15.97
45132;Pepino;3213;513;15.97
41098;Villanueva del Ariscal;6805;1087;15.97
8023;Bigues i Riells del Fai;9879;1578;15.97
8203;Sant Cebrià de Vallalta;3755;600;15.98
18105;Iznalloz;5155;824;15.98
8251;Santa Margarida i els Monjos;7543;1205;15.98
28072;Hoyo de Manzanares;8811;1408;15.98
29042;Coín;24592;3930;15.98
35026;Telde;102472;16378;15.98
8091;Gelida;7901;1263;15.99
18157;Pinos Genil;1580;253;16.01
43144;Secuita, La;1774;284;16.01
18011;Alfacar;5666;908;16.03
3074;Granja de Rocamora;2637;423;16.04
41014;Badolatosa;3073;493;16.04
8152;Orpí;162;26;16.05
21033;Fuenteheridos;810;130;16.05
29071;Moclinejo;1221;196;16.05
41012;Aznalcázar;4770;766;16.06
18100;Huétor Tájar;10543;1693;16.06
29092;Totalán;759;122;16.07
8298;Vic;47545;7644;16.08
41020;Cabezas de San Juan, Las;16155;2600;16.09
38032;Rosario, El;17738;2854;16.09
45002;Alameda de la Sagra;4125;664;16.1
44010;Albentosa;298;48;16.11
28168;Vellón, El;2172;350;16.11
8039;Campins;583;94;16.12
50225;Ricla;2977;480;16.12
29068;Manilva;17603;2837;16.12
8180;Ripollet;38938;6278;16.12
7036;Marratxí;38941;6278;16.12
1021;Elburgo/Burgelu;632;102;16.14
40216;Valverde del Majano;1140;184;16.14
7062;Son Servera;11944;1928;16.14
3122;Sant Vicent del Raspeig/San Vicente del Raspei;59475;9598;16.14
34098;Magaz de Pisuerga;1009;163;16.15
7050;Sant Joan de Labritja;6711;1084;16.15
8125;Montcada i Reixac;36574;5908;16.15
45064;Esquivias;5718;924;16.16
11901;Benalup-Casas Viejas;7085;1145;16.16
8056;Castelldefels;67307;10886;16.17
28138;Serna del Monte, La;105;17;16.19
17178;Sant Pere Pescador;2100;340;16.19
45069;Gerindote;2594;420;16.19
26117;Pradejón;3755;608;16.19
10173;Saucedilla;938;152;16.2
21014;Bonares;6069;983;16.2
14038;Lucena;42434;6878;16.21
29041;Casares;8062;1308;16.22
28148;Torrejón de Ardoz;134733;21847;16.22
43042;Castellvell del Camp;2986;485;16.24
45031;Camarena;4384;712;16.24
11025;Paterna de Rivera;5395;876;16.24
41101;Villaverde del Río;7607;1235;16.24
41045;Gerena;7758;1260;16.24
7005;Andratx;11918;1935;16.24
34225;Villamuriel de Cerrato;6373;1036;16.26
19304;Valdenuño Fernández;332;54;16.27
8028;Cabrera d'Anoia;1647;268;16.27
17095;Lloret de Mar;40324;6561;16.27
25132;Massoteres;215;35;16.28
8081;Fogars de Montclús;479;78;16.28
31114;Garínoain;522;85;16.28
29073;Monda;2937;478;16.28
46177;Museros;6771;1104;16.3
22195;Quicena;325;53;16.31
17149;Riudaura;521;85;16.31
37240;Pelabravo;1318;215;16.31
17182;Santa Llogaia d'Àlguema;392;64;16.33
1047;Erriberabeitia;1421;232;16.33
28110;Perales de Tajuña;3123;510;16.33
17198;Torroella de Fluvià;759;124;16.34
8261;Santa Susanna;3820;624;16.34
28164;Valdetorres de Jarama;4953;810;16.35
7031;Llucmajor;38904;6362;16.35
28028;Bustarviejo;2751;450;16.36
28064;Gascones;226;37;16.37
41052;Lantejuela;3831;627;16.37
41072;Pedrera;5088;833;16.37
8239;Sant Quirze Safaja;671;110;16.39
45019;Bargas;10903;1787;16.39
43178;Vinyols i els Arcs;2317;380;16.4
41041;Estepa;12156;1993;16.4
8030;Cabrils;7711;1265;16.41
23053;Jódar;11350;1862;16.41
11041;Villamartín;12087;1983;16.41
8001;Abrera;12702;2084;16.41
30902;Alcázares, Los;18341;3009;16.41
44263;Villastar;536;88;16.42
22084;Castejón de Sos;822;135;16.42
48056;Lemoiz;1309;215;16.42
17006;Alp;1705;280;16.42
14047;Obejo;2071;340;16.42
7001;Alaró;5873;965;16.43
